"","family","species","egg.type","sl","vol","clutch","latitude","basin","reduced_basin"
"Acanthuridae_Acanthurus_bahianus","Acanthuridae","Acanthurus_bahianus","pelagic",38.1,0.157479,NA,"tropical","Atlantic_Caribbean","Atlantic"
"Acanthuridae_Acanthurus_chirurgus","Acanthuridae","Acanthurus_chirurgus","pelagic",26.4,0.157479139,NA,"subtropical","Atlantic_Caribbean","Atlantic"
"Acanthuridae_Acanthurus_coeruleus","Acanthuridae","Acanthurus_coeruleus","pelagic",27.8,0.157479139,NA,"tropical","Atlantic_Caribbean","Atlantic"
"Acanthuridae_Acanthurus_nigroris","Acanthuridae","Acanthurus_nigroris","pelagic",18.1,2,NA,"tropical","Indo_Pacific","Pacific"
"Anarhichadidae_Anarrhichthys_ocellatus","Anarhichadidae","Anarrhichthys_ocellatus","demersal",237.2,77.9,10000,"temperate","Pacific_Temperate","Pacific"
"Antennariidae_Antennarius_numifer","Antennariidae","Antennarius_numifer","pelagic",10.1,0.161031167,48800,"subtropical","Indo_Pacific","Pacific"
"Antennariidae_Histrio_histrio","Antennariidae","Histrio_histrio","pelagic",14.7,0.131946875,NA,"subtropical","Indo_Pacific","Pacific"
"Apogonidae_Apogon_cookii","Apogonidae","Apogon_cookii","demersal",7.85,0.268082573,500,"tropical","Indo_Pacific","Pacific"
"Apogonidae_Apogon_cyanosoma","Apogonidae","Apogon_cyanosoma","demersal",6.6,0.113097336,650,"tropical","Indo_Pacific","Pacific"
"Apogonidae_Apogon_hungi","Apogonidae","Apogon_hungi","demersal",12.2,0.268082573,800,"tropical","Indian","Pacific"
"Apogonidae_Apogon_lateralis","Apogonidae","Apogon_lateralis","demersal",8.51,0.137158794,NA,"tropical","Indo_Pacific","Pacific"
"Apogonidae_Apogon_nitidus","Apogonidae","Apogon_nitidus","demersal",6.38,0.124691907,NA,"tropical","Indo_Pacific","Pacific"
"Apogonidae_Apogon_ruppellii","Apogonidae","Apogon_ruppellii","demersal",9.13,0.523598776,400,"tropical","Indo_Pacific","Pacific"
"Apogonidae_Apogon_taeniophorus","Apogonidae","Apogon_taeniophorus","demersal",8.26,0.11664943,NA,"tropical","Indo_Pacific","Pacific"
"Apogonidae_Archamia_lineolata","Apogonidae","Archamia_lineolata","demersal",6.25,0.523598776,400,"tropical","Indian","Pacific"
"Apogonidae_Cheilodipterus_lineatus","Apogonidae","Cheilodipterus_lineatus","demersal",18,0.113097336,2600,"tropical","Indian","Pacific"
"Apogonidae_Glossamia_aprion","Apogonidae","Glossamia_aprion","demersal",18,0.523598776,600,"tropical","Indo_Pacific","Pacific"
"Apogonidae_Holapogon_maximus","Apogonidae","Holapogon_maximus","demersal",20,0.17959438,1800,"tropical","Indian","Pacific"
"Apogonidae_Siphamia_permutata","Apogonidae","Siphamia_permutata","demersal",26.5,0.904778684,240,"tropical","Indo_Pacific","Pacific"
"Apogonidae_Siphamia_roseigaster","Apogonidae","Siphamia_roseigaster","demersal",4.99,1.15034651,260,"temperate","Pacific_Temperate","Pacific"
"Balistidae_Pseudobalistes_flavimarginatus","Balistidae","Pseudobalistes_flavimarginatus","egg.scatterer",50.5,0.087113746,430000,"tropical","Indo_Pacific","Pacific"
"Balistidae_Rhinecanthus_aculeatus","Balistidae","Rhinecanthus_aculeatus","egg.scatterer",27,0.059734308,42513,"tropical","Indo_Pacific","Pacific"
"Balistidae_Xanthichthys_mento","Balistidae","Xanthichthys_mento","egg.scatterer",25.3,0.057905836,113500,"subtropical","Pacific_Temperate","Pacific"
"Batrachoididae_Porichthys_notatus","Batrachoididae","Porichthys_notatus","demersal",34.2,130.924303,NA,"subtropical","Pacific_Temperate","Pacific"
"Blenniidae_Chasmodes_bosquianus","Blenniidae","Chasmodes_bosquianus","demersal",12.7,0.393432125,NA,"subtropical","Atlantic_Temperate","Atlantic"
"Blenniidae_Chasmodes_saburrae","Blenniidae","Chasmodes_saburrae","demersal",8.48,0.288696,NA,"subtropical","Atlantic_Caribbean","Atlantic"
"Blenniidae_Entomacrodus_chiostictus","Blenniidae","Entomacrodus_chiostictus","demersal",6.31,0.157479,NA,"tropical","Pacific_Temperate","Pacific"
"Blenniidae_Hypleurochilus_geminatus","Blenniidae","Hypleurochilus_geminatus","demersal",8.81,0.172007,NA,"subtropical","Atlantic_Caribbean","Atlantic"
"Blenniidae_Hypsoblennius_brevipinnis","Blenniidae","Hypsoblennius_brevipinnis","demersal",10.2,0.087114,NA,"tropical","Pacific_Temperate","Pacific"
"Blenniidae_Hypsoblennius_hentz","Blenniidae","Hypsoblennius_hentz","demersal",8.72,0.175621375,NA,"temperate","Atlantic_Temperate","Atlantic"
"Blenniidae_Hypsoblennius_jenkins","Blenniidae","Hypsoblennius_jenkins","demersal",11,0.220893,1540,"subtropical","Pacific_Temperate","Pacific"
"Blenniidae_Lipophrys_pholis","Blenniidae","Lipophrys_pholis","demersal",26.3,1.15034651,1814,"temperate","Atlantic_Temperate","Atlantic"
"Blenniidae_Lupinoblennius_nicholsi","Blenniidae","Lupinoblennius_nicholsi","demersal",5.05,0.09293875,NA,"subtropical","Atlantic_Caribbean","Atlantic"
"Blenniidae_Ophioblennius_macclurei","Blenniidae","Ophioblennius_macclurei","demersal",10.2,0.235112625,NA,"tropical","Atlantic_Caribbean","Atlantic"
"Blenniidae_Ophiohlennius_steindachneri","Blenniidae","Ophiohlennius_steindachneri","demersal",18,0.091952,NA,"tropical","Pacific_Temperate","Pacific"
"Blenniidae_Parablennius_ruber","Blenniidae","Parablennius_ruber","demersal",12,0.555647209,3672,"subtropical","Atlantic_Temperate","Atlantic"
"Blenniidae_Plagiotremus_azalea","Blenniidae","Plagiotremus_azalea","demersal",8.11,0.1021604,NA,"tropical","Pacific_Temperate","Pacific"
"Bothidae_Arnoglossus_laterna","Bothidae","Arnoglossus_laterna","pelagic",25,0.047712938,33333,"subtropical","Atlantic_Temperate","Atlantic"
"Callionymidae_Callionymus_lyra","Callionymidae","Callionymus_lyra","pelagic",24.8,0.299386973,NA,"temperate","Atlantic_Temperate","Atlantic"
"Callionymidae_Callionymus_enneactis","Callionymidae","Callionymus_enneactis","pelagic",6.67,0.1130973,NA,"tropical","Indo_Pacific","Pacific"
"Callionymidae_Callionymus_valenciennei","Callionymidae","Callionymus_valenciennei","pelagic",10,0.1720069,NA,"temperate","Pacific_Temperate","Pacific"
"Chaetodontidae_Chaetodon_aculeatus","Chaetodontidae","Chaetodon_aculeatus","pelagic",8.42,0.209269341,NA,"tropical","Atlantic_Caribbean","Atlantic"
"Chaetodontidae_Chaetodon_nippon","Chaetodontidae","Chaetodon_nippon","pelagic",11.9,0.195432,NA,"tropical","Pacific_Temperate","Pacific"
"Cottidae_Enophyris_bison","Cottidae","Enophyris_bison","demersal",30.56,3.315231098,24900,"temperate","Pacific_Temperate","Pacific"
"Dactyloscopidae_Gillellus_uranidea","Dactyloscopidae","Gillellus_uranidea","demersal",4.43,0.113097,NA,"tropical","Atlantic_Caribbean","Atlantic"
"Diodontidae_Diodon_holocanthus","Diodontidae","Diodon_holocanthus","pelagic",12.8,3.003016,NA,"subtropical","Indo_Pacific","Pacific"
"Ephippidae_Chaetodipterus_zonatus","Ephippidae","Chaetodipterus_zonatus","pelagic",20.5,0.588977,NA,"subtropical","Pacific_Temperate","Pacific"
"Fistulariidae_Fistularia_commersonii","Fistulariidae","Fistularia_commersonii","pelagic",83.2,0.857375,NA,"tropical","Indo_Pacific","Pacific"
"Gerreidae_Gerres_japonicus","Gerreidae","Gerres_japonicus","pelagic",20,0.124788,NA,"temperate","Pacific_Temperate","Pacific"
"Gobiesocidae_Apletodon_dentatus","Gobiesocidae","Apletodon_dentatus","demersal",4,0.475165889,2000,"temperate","Atlantic_Temperate","Atlantic"
"Gobiesocidae_Diplecogaster_bimaculata","Gobiesocidae","Diplecogaster_bimaculata","demersal",6,0.415475628,300,"temperate","Atlantic_Temperate","Atlantic"
"Gobiesocidae_Lepadogaster_purpurea","Gobiesocidae","Lepadogaster_purpurea","demersal",7.5,3.053628059,144,"subtropical","Atlantic_Temperate","Atlantic"
"Gobiidae_Coryphopterus_dicrus","Gobiidae","Coryphopterus_dicrus","demersal",4.14,0.253421807,NA,"subtropical","Atlantic_Caribbean","Atlantic"
"Gobiidae_Coryphopterus_eidolon","Gobiidae","Coryphopterus_eidolon","demersal",4.75,0.075398224,NA,"tropical","Atlantic_Caribbean","Atlantic"
"Gobiidae_Coryphopterus_nicholsii","Gobiidae","Coryphopterus_nicholsii","demersal",12.2,0.276575375,4788,"subtropical","Pacific_Temperate","Pacific"
"Gobiidae_Coryphopterus_thrix","Gobiidae","Coryphopterus_thrix","demersal",4.1,0.253421807,NA,"tropical","Atlantic_Caribbean","Atlantic"
"Gobiidae_Coryphopterus_venezuelae","Gobiidae","Coryphopterus_venezuelae","demersal",6.15,0.253421807,NA,"tropical","Atlantic_Caribbean","Atlantic"
